%t , vf , sr , u_s
4.910000e-01 , 8.102886e-01 , 2.288479e-01 , -1.200000e+01
4.920000e-01 , 8.129451e-01 , 2.257863e-01 , -1.200000e+01
4.930000e-01 , 8.156142e-01 , 2.186503e-01 , -1.200000e+01
4.940000e-01 , 8.183037e-01 , 2.076421e-01 , -1.200000e+01
4.950000e-01 , 8.210231e-01 , 1.929503e-01 , -1.200000e+01
4.960000e-01 , 8.237835e-01 , 1.747488e-01 , -1.200000e+01
4.970000e-01 , 8.265984e-01 , 1.531956e-01 , -1.200000e+01
4.980000e-01 , 8.294818e-01 , 1.284363e-01 , -5.081459e+00
4.990000e-01 , 8.324363e-01 , 1.006245e-01 , 1.166111e+01
5.000000e-01 , 8.353856e-01 , 7.003353e-02 , 1.200000e+01
5.010000e-01 , 8.379154e-01 , 3.952808e-02 , 1.200000e+01
5.020000e-01 , 8.392580e-01 , 1.581533e-02 , 1.200000e+01
5.030000e-01 , 8.393031e-01 , 4.953708e-04 , 1.200000e+01
5.040000e-01 , 8.386603e-01 , -7.174377e-03 , 1.200000e+01
5.050000e-01 , 8.378332e-01 , -9.328839e-03 , 1.200000e+01
5.060000e-01 , 8.371501e-01 , -7.638186e-03 , 1.200000e+01
5.070000e-01 , 8.368524e-01 , -3.280091e-03 , 1.200000e+01
5.080000e-01 , 8.371105e-01 , 2.840084e-03 , 1.200000e+01
5.090000e-01 , 8.380025e-01 , 1.008200e-02 , 1.200000e+01
5.100000e-01 , 8.395097e-01 , 1.812842e-02 , 1.200000e+01
5.110000e-01 , 8.415450e-01 , 2.696438e-02 , 1.200000e+01
5.120000e-01 , 8.439886e-01 , 3.677325e-02 , 1.200000e+01
